IAS,Date,Development,Comments
32,18 August 2005,Disclosure provisions of IAS 32 are replaced by IFRS 7 Financial Instruments: Disclosures effective 1 January 2007. Title of IAS 32 changed to Financial Instruments: Presentation,
32,22 June 2006,Exposure Draft of proposed amendments relating to Puttable Instruments and Obligations Arising on Liquidation,
32,14 February 2008,IAS 32 amended for Puttable Instruments and Obligations Arising on Liquidation,
32,1 January 2009,Effective date of amendments for puttable instruments and obligations arising on liquidation,
32,6 August 2009,Exposure Draft Classification of Rights Issues proposing to amend IAS 32,
32,8 October 2009,Amendment to IAS 32 about Classification of Rights Issues,
32,1 February 2010,Effective date of the October 2009 amendment,
32,16 December 2011,Offsetting Financial Assets and Financial Liabilities (Amendments to IAS 32) issued,
32,17 May 2012,Amendments resulting from Annual Improvements 2009-2011 Cycle (tax effect of equity distributions). Click for More Information,
32,1 January 2013,Effective date of May 2012 amendments (Annual Improvements 2009-2011 Cycle),
32,1 January 2014,Effective date of December 2011 amendments,
33,January 1996,Exposure Draft E33 Earnings Per Share,
33,February 1997,IAS 33 Earnings Per Share,Effective for annual periods beginning on or after 1 January 1999
33,18 December 2003,Revised version of IAS 33 issued by the IASB,Effective for annual periods beginning on or after 1 January 2005
33,7 August 2008,IASB proposes to amend IAS 33. Click for Press Release (PDF 48k).,
33,6 September 2007,Amended by IAS 1 Pre­sen­ta­tion of Financial State­ments (2007) ,Effective for annual periods beginning on or after 1 January 2009
33,12-May-11,Amended by IFRS 10 Consolidated Financial Statements and IFRS 11 Joint Arrangements,Effective for annual periods beginning on or after 1 January 2013
33,12-May-11,Amended by IFRS 13 Fair Value Measurements,Effective for annual periods beginning on or after 1 January 2013
33,16-Jun-11,Amended by IAS 1 Pre­sen­ta­tion of Items of Other Com­pre­hen­sive Income,Effective for annual periods beginning on or after 1 July 2012
33,24-Jul-14,Amended by IFRS 9 Financial Instruments,Effective for annual periods beginning on or after 1 January 2018
33,09-Apr-24,Amended by IFRS 18 Presentation and Disclosure in Financial Statements ,"The amendments to IAS 33 permit an entity to disclose additional earnings per share in the notes only if the numerator is either a total or subtotal identified in IFRS 18 or is a management performance measure. The amendments need to be applied when IFRS 18 is applied, which is effective for annual periods beginning on or after 1 January 2027"
34,August 1997,Exposure Draft E57 Interim Financial Reporting published,
34,June 1998,IAS 34 Interim Financial Reporting issued,Operative for financial statements covering periods beginning on or after 1 January 1999
34,6 May 2010,Amended by Improvements to IFRSs 2010 (significant transactions and events),Effective for annual periods beginning on or after 1 January 2011
34,17 May 2012,Amended by Annual Improvements 2009-2011 Cycle (segment information),Effective for annual periods beginning on or after 1 January 2013
34,31-Oct-12,"Amended by Investment Entities (Amendments to IFRS 10, IFRS 12 and IAS 27)",Effective for annual periods beginning on or after 1 January 2014
34,28-May-14,Amended by IFRS 15 Revenue from Contracts with Customers,Effective for annual periods beginning on or after 1 January 2018
