Standard Name,Date,Development,Comment
IAS 21,Jul-1983,IAS 21 Accounting for the Effects of Changes in Foreign Exchange Rates,
IAS 21,01-Jan-1985,Effective date of IAS 21 (1983),
IAS 21,1993,IAS 21 (1983) was revised as part of the comparability of financial statements project,
IAS 21,May-1992,Exposure Draft E44 The Effects of Changes in Foreign Exchange Rates,
IAS 21,Dec-1993,IAS 21 (1993) The Effects of Changes in Foreign Exchange Rates (revised as part of the 'Comparability of Financial Statements' project),
IAS 21,01-Jan-1995,Effective date of IAS 21 (1993),
IAS 21,18-Dec-2003,Revised version of IAS 21 issued by the IASB,
IAS 21,01-Jan-2005,Effective date of IAS 21 (Revised 2003),
IAS 21,Dec-2005,Minor Amendment to IAS 21 relating to net investment in a foreign operation,
IAS 21,01-Jan-2006,Effective date of the December 2005 amendments,
IAS 21,10-Jan-2008,Some revisions of IAS 21 as a result of the Business Combinations Phase II Project relating to disposals of foreign operations,
IAS 21,01-Jul-2009,Effective date of the January 2008 amendments,
IAS 21,15-Aug-2023,Lack of Exchangeability (Amendments to IAS 21) published,An entity applies the amendments for annual reporting periods beginning on or after 1 January 2025
IAS 21,13-Nov-2025,Translation to a Hyperinflationary Presentation Currency (Amendments to IAS 21) issued,The amendments are effective for annual periods beginning on or after 1 January 2027 with earlier application permitted
IAS 22,Sep-1981,Exposure Draft E22 Accounting for Business Combinations,
IAS 22,Nov-1983,IAS 22 Accounting for Business Combinations,
IAS 22,01-Jan-1985,Effective date of IAS 22 (1983),
IAS 22,Jun-1992,Exposure Draft E54 Business Combinations,
IAS 22,Dec-1993,"IAS 22 (1993), Business Combinations (revised as part of the 'Comparability of Financial Statements' project)",
IAS 22,01-Jan-1995,Effective date of IAS 22 (1993),
IAS 22,Aug-1997,Exposure Draft E61 Business Combinations,
IAS 22,Sep-1998,IAS 22 (1998) Business Combinations,
IAS 22,01-Jul-1999,Effective date of IAS 22 (1998) Business Combinations,
IAS 22,31-Mar-2004,"IAS 22 superseded by IFRS 3 Business Combinations (2004), effective for business combinations for which the agreement date is on or after 31 March 2004",
IAS 23,Nov-1982,Exposure Draft E24 Capitalisation of Borrowing Costs,
IAS 23,Mar-1984,IAS 23 Capitalisation of Borrowing Costs,
IAS 23,01-Jan-1986,Effective date of IAS 23 (1984),
IAS 23,Aug-1991,Exposure Draft E39 Capitalisation of Borrowing Costs,
IAS 23,Dec-1993,IAS 23 (1993) Borrowing Costs (revised as part of the 'Comparability of Financial Statements' project),
IAS 23,01-Jan-1995,Effective date of IAS 23 (1993) Borrowing Costs,
IAS 23,25-May-2006,Exposure Draft of proposed amendments to IAS 23,
IAS 23,29-Mar-2007,IASB amends IAS 23 to require capitalisation of borrowing costs.,
IAS 23,22-May-2008,IAS 23 amended for 'Annual Improvements to IFRSs 2007 for components of borrowing costs,
IAS 23,01-Jan-2009,Effective date of March 2007 and May 2008 amendments to IAS 23,
IAS 23,12-Dec-2017,IAS 23 amended for 'Annual Improvements to IFRS Standards 2015-2017'.,
IAS 24,Mar-1983,Exposure Draft E25 Disclosure of Related Party Transactions,
IAS 24,Jul-1984,IAS 24 Related Party Disclosures issued,Effective 1 January 1986
IAS 24,1994,IAS 24 was reformatted,
IAS 24,18-Dec-2003,IAS 24 Related Party Disclosures,Effective for annual periods beginning on or after 1 January 2005
IAS 24,22-Feb-2007,Exposure Draft State-controlled Entities and the Definition of a Related Party published,Comment deadline 25 May 2007
IAS 24,11-Dec-2008,Exposure Draft Relationships with the State (Proposed amendments to IAS 24) published,Comment deadline 13 March 2009
IAS 24,04-Nov-2009,IAS 24 Related Party Disclosures issued,Effective for annual periods beginning on or after 1 January 2011
